"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"1","World","872","6,960,770","771,150,460",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"World","5,625,493,786",70.54
"2","World","872","6,960,770","771,150,460",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European Union","338,046,600",75.1
"3","World","872","6,960,770","771,150,460",NA,"Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo","906,858",50.89
"4","Peru","6,511","221,704","4,520,727","PER","Peru","South America",33359,26.1,"Lima",10554.7,"31-Oct-45","1285216",98.7,"Sol (PEN)",3.3,226850,2.2,6977.8,117,"35887",22009,13878,-3531,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru",19.7,"Peru","30,532,913",89.67
"5","Bulgaria","5,664","38,414","1,302,188","BGR","Bulgaria","Eastern Europe",6897,63.5,"Sofia",1276.9,"14-Dec-55","110372",94.4,"Bulgarian Lev (BGN)",1.6,67926,3.4,9703.5,106,"31801",34880,-3079,-538,75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulgaria",25,"Bulgaria","2,108,377",31.09
"6","Bosnia and Herzegovina","5,057","16,354","403,155","BIH","Bosnia and Herzegovina","Southern Europe",3264,64,"Sarajevo",342.7,"22-May-92","51209",95.9,"Convertible Mark (BAM)",1.6,20164,2.7,6108.6,105,"6149",9867,-3719,-635,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",17.9,"Bosnia and Herzegovina","943,394",28.91
"7","Hungary","4,896","48,807","2,206,311","HUN","Hungary","Eastern Europe",9634,106.4,"Budapest",1763.9,"14-Dec-55","93023",90.9,"Forint (HUF)",297.4,163469,4.6,16879.1,97,"119391",112624,6767,167,71.6,"Hungary","Europe",7.04,6.98,6.99,7,7.02,65.5,13.8," 2,560","Hungary",26.4,"Hungary","6,420,813",64.42
"8","North Macedonia","4,750","9,946","349,104","MKD","The former Yugoslav Republic of Macedonia","Southern Europe",2083,82.6,"Skopje",589.8,"08-Apr-93","25713",100.1,"Denar (MKD)",50.2,12695,3.6,6093.1,96,"6633",8709,-2076,-424,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Macedonia",22.4,"North Macedonia","854,570",40.82
"9","Georgia","4,575","17,132","1,855,289","GEO","Georgia","Western Asia",3980,57.3,"Tbilisi",1077.3,"31-Jul-92","69700",91,"Lari (GEL)",3.3,17743,5.1,4439.3,105,"3342",8031,-4689,-1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia",21.7,"Georgia","1,654,504",44.03
"10","Croatia","4,553","18,351","1,275,337","HRV","Croatia","Southern Europe",4082,72.9,"Zagreb",685.2,"22-May-92","56594",93.2,"Kuna (HRK)",6.1,60415,2.9,14627.3,80,"16965",25987,-9021,-532,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Croatia",24.4,"Croatia","2,321,786",57.61
"11","Slovenia","4,456","9,448","1,345,384","SVN","Slovenia","Southern Europe",2079,103.2,"Ljubljana",286.5,"22-May-92","20273",99.3,"Euro (EUR)",0.8,54174,3.2,26062.2,99,"37471",36513,958,3748,54.8,"Slovenia","Europe",4.55,4.54,4.51,4.49,4.5,69.5,6.4,NA,"Slovenia",20.2,"Slovenia","1,265,802",59.72
"12","Montenegro","4,232","2,654","251,280","MNE","Montenegro","Southern Europe",628,46.7,"Podgorica",177.2,"28-Jun-06","13812",97.8,"Euro (EUR)",0.8,5542,4.1,8825.3,102,"410",2394,-1984,-1235,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montenegro",23.3,"Montenegro","292,783",46.63
"13","Czech Republic","4,083","42,849","4,651,538","CZE","Czechia","Eastern Europe",10725,138.8,"Prague",1298.8,"19-Jan-93","78871",97.1,"Czech Koruna (CZK)",21.4,250681,2.3,23451.7,93,"192305",170678,21627,8845,73.9,"Czech Republic","Europe",6.7,6.68,6.67,6.66,6.63,70.1,11.6," 3,529","Czech Republic",26,"Czech Republic","6,976,659",66.48
