"Country","Deaths_in_Million","Deaths","Cases","iso3c","Region","Population-000-2021","Pop-density-per-km2-2021","Capital-city","Capital-city-pop000-2021","UN-membership-date","Surface-area-km2","Sex-ratio-m-per-100-f","National-currency","Exchange-rate-per-us","GDP-million-US","GDP-growth-rate-annual-const","GDP-per-capita-current-US","Agricultural-production-index","International-trade-exports-million-current-US","International-trade-imports-million-current-US","International-trade-balance-million-current-US","Balance-of-payments-current-million-US","Urban-population-of-total-population","Obesity-rate","Vaccinated","Percent"
"Peru",6511,221704,4520727,"PER","South America",33359,26.1,"Lima",10554.7,"31-Oct-45",1285216,98.7,"Sol (PEN)",3.3,226850,2.2,6977.8,117,"35887",22009,13878,-3531,78.1,19.7,30532913,89.67
"Bulgaria",5664,38414,1302188,"BGR","Eastern Europe",6897,63.5,"Sofia",1276.9,"14-Dec-55",110372,94.4,"Bulgarian Lev (BGN)",1.6,67926,3.4,9703.5,106,"31801",34880,-3079,-538,75.3,25,2108377,31.09
"Bosnia and Herzegovina",5057,16354,403155,"BIH","Southern Europe",3264,64,"Sarajevo",342.7,"22-May-92",51209,95.9,"Convertible Mark (BAM)",1.6,20164,2.7,6108.6,105,"6149",9867,-3719,-635,48.6,17.9,943394,28.91
"Hungary",4896,48807,2206311,"HUN","Eastern Europe",9634,106.4,"Budapest",1763.9,"14-Dec-55",93023,90.9,"Forint (HUF)",297.4,163469,4.6,16879.1,97,"119391",112624,6767,167,71.6,26.4,6420813,64.42
"North Macedonia",4750,9946,349104,"MKD","Southern Europe",2083,82.6,"Skopje",589.8,"08-Apr-93",25713,100.1,"Denar (MKD)",50.2,12695,3.6,6093.1,96,"6633",8709,-2076,-424,58.2,22.4,854570,40.82
"Georgia",4575,17132,1855289,"GEO","Western Asia",3980,57.3,"Tbilisi",1077.3,"31-Jul-92",69700,91,"Lari (GEL)",3.3,17743,5.1,4439.3,105,"3342",8031,-4689,-1965,NA,21.7,1654504,44.03
"Croatia",4553,18351,1275337,"HRV","Southern Europe",4082,72.9,"Zagreb",685.2,"22-May-92",56594,93.2,"Kuna (HRK)",6.1,60415,2.9,14627.3,80,"16965",25987,-9021,-532,57.2,24.4,2321786,57.61
"Slovenia",4456,9448,1345384,"SVN","Southern Europe",2079,103.2,"Ljubljana",286.5,"22-May-92",20273,99.3,"Euro (EUR)",0.8,54174,3.2,26062.2,99,"37471",36513,958,3748,54.8,20.2,1265802,59.72
"Montenegro",4232,2654,251280,"MNE","Southern Europe",628,46.7,"Podgorica",177.2,"28-Jun-06",13812,97.8,"Euro (EUR)",0.8,5542,4.1,8825.3,102,"410",2394,-1984,-1235,67.2,23.3,292783,46.63
"Czech Republic",4083,42849,4651538,"CZE","Eastern Europe",10725,138.8,"Prague",1298.8,"19-Jan-93",78871,97.1,"Czech Koruna (CZK)",21.4,250681,2.3,23451.7,93,"192305",170678,21627,8845,73.9,26,6976659,66.48
"Latvia",3989,7384,976316,"LVA","Northern Europe",1867,30,"Riga",633.8,"17-Sep-91",64573,85.6,"Euro (EUR)",0.8,34103,2.1,17885.4,104,"15154",17334,-2181,1004,68.2,23.6,1346184,71.84
"Slovakia",3750,21167,1867525,"SVK","Eastern Europe",5461,113.6,"Bratislava",432.5,"19-Jan-93",49035,94.9,"Euro (EUR)",0.8,105080,2.3,19255.9,98,"86333",85449,884,-294,53.7,20.5,2822919,51.82
"San Marino",3739,126,24644,"SMR","Southern Europe",34,566.8,"San Marino",4.5,"02-Mar-92",61,NA,"Euro (EUR)",0.8,1602,1.1,47313.4,NA,NA,NA,NA,NA,97.4,NA,26357,77.5
"Moldova",3704,12126,623684,"MDA","Eastern Europe",4024,122.5,"Chisinau",504.3,"02-Mar-92",33846,91.8,"Moldovan Leu (MDL)",17.2,11955,3.5,2956.9,118,"2485",5416,-2931,-796,NA,18.9,1108879,33.88
"Greece",3617,37572,5405742,"GRC","Southern Europe",10371,80.5,"Athens",3154.2,"25-Oct-45",131957,96.4,"Euro (EUR)",0.8,205327,1.9,19604.5,74,"35070",55534,-20463,-12618,79.4,24.9,7936266,76.42
"Lithuania",3530,9710,1329905,"LTU","Northern Europe",2690,42.9,"Vilnius",537.6,"17-Sep-91",65286,86.2,"Euro (EUR)",0.8,54627,4.3,19795.2,94,"32753",33125,-372,4700,67.9,26.3,1957190,71.17
"Romania",3476,68341,3455207,"ROU","Eastern Europe",19128,83.1,"Bucharest",1812.3,"14-Dec-55",238391,94.6,"Romanian Leu (RON)",4,250076,4.1,12914.1,113,"71046",92056,-21010,-13138,54.1,22.5,8187976,41.65
"Gibraltar",3458,113,20550,"GIB","Southern Europe",34,3369.1,"Gibraltar",34.7,NA,6,NA,"Gibraltar Pound (GIP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,42175,129.07
"United Kingdom",3403,229765,24743787,"GBR","Northern Europe",68207,281.9,"London",9176.5,"24-Oct-45",242495,97.8,"Pound Sterling (GBP)",0.8,2826442,1.3,41854.5,104,"399622",631221,-231600,-95421,83.7,27.8,53806963,79.97
"United States",3331,1127152,103436829,"USA","Northern America",332915,36.4,"Washington, D.C.",5264.5,"24-Oct-45",9833517,97.9,"US Dollar (USD)",NA,21433226,2.2,65133.7,100,"1430254",2405382,-975128,-647218,82.5,41.9,270227181,81.39
"Brazil",3272,704659,37721749,"BRA","South America",213993,25.6,"Brasilia",4559,"24-Oct-45",8515767,96.5,"Brazilian Real (BRL)",5.2,1847796,1.1,8755.3,110,NA,NA,NA,-24074,86.8,22.1,189643431,88.08
"Italy",3247,191715,26082645,"ITA","Southern Europe",60368,205.2,"Rome",4234,"14-Dec-55",302069,95,"Euro (EUR)",0.8,2003576,0.3,33089.6,98,"495977",422648,73329,69735,70.7,19.9,50929393,86.27
"Armenia",3147,8751,449650,"ARM","Western Asia",2968,104.3,"Yerevan",1083.3,"02-Mar-92",29743,88.8,"Armenian Dram (AMD)",522.6,13673,7.6,4622.7,81,"2520",4541,-2021,-394,63.2,20.2,1122040,40.35
"Chile",3142,61607,5288823,"CHL","South America",19212,25.8,"Santiago",6723.5,"24-Oct-45",756102,97.3,"Chilean Peso (CLP)",729,282318,1.1,14896.5,103,"59804",59367,438,3370,87.6,28,18088517,92.27
"Poland",3002,119654,6523335,"POL","Eastern Europe",37797,123.4,"Warsaw",1775.9,"24-Oct-45",312679,94,"Zloty (PLN)",3.8,595862,4.5,15727,103,"254169",254660,-491,21067,60,23.1,22877261,57.4
"Belgium",2946,34339,4817196,"BEL","Western Europe",11632,384.2,"Brussels",2065.3,"27-Dec-45",30528,98.4,"Euro (EUR)",0.8,533097,1.7,46198.3,102,"298313",301292,-2979,-933,98,22.1,9267479,79.51
"Paraguay",2945,19971,735853,"PRY","South America",7220,18.2,"Asunción",3279.2,"24-Oct-45",406752,103.2,"Guarani (PYG)",6916.8,38087,0.2,5406.5,102,"8181",9927,-1746,738,61.9,20.3,3993938,58.9
"Trinidad and Tobago",2867,4390,191496,"TTO","Caribbean",1403,273.6,"Port of Spain",544.3,"18-Sep-62",5127,97.4,"TT Dollar (TTD)c",6.7,23209,-1.2,16637.3,104,"14561",1076,13485,1056,53.2,18.6,753588,49.39
"Argentina",2866,130472,10054576,"ARG","South America",45606,16.7,"Buenos Aires",15057.3,"24-Oct-45",2796427,95.3,"Argentine Peso (ARS)",84,449664,-2.2,10041.5,113,"54884",42356,12528,2985,92,28.3,41510828,91.21
"Ukraine",2768,109918,5520483,"UKR","Eastern Europe",43467,75,"Kyiv",2973.3,"24-Oct-45",603500,86.4,"Hryvnia (UAH)",28.3,NA,NA,NA,109,NA,NA,NA,5207,NA,24.1,15729617,36.19
"Russia",2764,400047,23029404,"RUS","Eastern Europe",145912,8.9,"Moscow",12476.2,"24-Oct-45",17098246,86.4,"Russian Ruble (RUB)",73.9,1692930,1.3,11605.6,110,NA,NA,NA,33949,74.6,23.1,89081596,61.56
"Colombia",2756,142977,6381470,"COL","South America",51266,46.2,"Bogota",10779.4,"05-Nov-45",1141748,96.5,"Colombian Peso (COP)",3444.9,323803,3.3,6432.4,133,"31057",43483,-12426,-9326,81.1,22.3,43012174,82.92
"Aruba",2742,292,44224,"ABW","Caribbean",107,595.5,"Oranjestad",29.9,NA,180,90.2,"Aruban Florin (AWG)",1.8,3293,-0.7,30974.7,NA,"66",939,-873,-324,43.5,NA,90478,84.99
"Portugal",2670,27424,5621015,"PRT","Southern Europe",10168,111,"Lisbon",2942.1,"14-Dec-55",92226,89.8,"Euro (EUR)",0.8,238785,2.2,23350.4,109,"61529",77594,-16065,-2607,65.8,20.8,9791341,95.33
"Serbia",2627,18057,2552178,"SRB","Southern Europe",8698,99.4,"Belgrade",1393.7,"01-Nov-00",88444,96,"Serbian Dinar (RSD)",95.7,51475,4.2,7359.3,107,NA,NA,NA,-2236,NA,21.5,3354075,48.81
"Mexico",2624,334630,7690908,"MEX","Central America",130262,67,"Mexico City",21671.9,"07-Nov-45",1964375,95.8,"Mexican Peso (MXN)",20,1256441,-0.3,9848.6,113,NA,NA,NA,26571,80.4,54.7,97179493,76.22
"France",2599,167985,38997490,"FRA","Western Europe",65426,119.5,"Paris",10958.2,"24-Oct-45",551500,93.8,"Euro (EUR)",0.8,NA,NA,NA,98,"488562",582775,-94213,-48911,80.7,21.6,54677678,80.63
"Bermuda",2569,165,18860,"BMU","Northern America",62,1241.8,"Hamilton",10.1,NA,54,NA,"Bermudian Dollar (BMD)",1,7361,2.4,117767.9,NA,"19",904,-885,828,100,NA,48554,75.65
"Spain",2562,121852,13980340,"ESP","Southern Europe",46745,93.7,"Madrid",6559,"14-Dec-55",505969,96.7,"Euro (EUR)",0.8,1393491,2,29815.7,106,"312081",329739,-17658,8665,NA,23.8,41351234,86.95
"Austria",2520,22534,6081287,"AUT","Western Europe",9043,109.7,"Vienna",1915.3,"14-Dec-55",83878,97.4,"Euro (EUR)",0.8,445075,1.4,49700.8,100,"164332",162981,1351,10781,58.5,20.1,6899873,77.18
"Tunisia",2381,29423,1153361,"TUN","Northern Africa",11936,76.8,"Tunis",2327.8,"12-Nov-56",163610,98.4,"Tunisian Dinar (TND)",2.7,38797,1,3317.5,106,"13854",18392,-4538,-3284,69.3,26.9,7218871,58.42
"Sweden",2354,24834,2717141,"SWE","Northern Europe",10160,24.8,"Stockholm",1608,"19-Nov-46",438574,100.4,"Swedish Krona (SEK)",8.2,530884,1.3,52896,100,"155608",149792,5816,28188,87.7,20.6,7775726,73.71
"Saint Lucia",2279,410,30082,"LCA","Caribbean",184,302.3,"Castries",22.3,"18-Sep-79",539,97,"E. Caribbean Dollar (XCD)d",2.7,2122,1.7,11611.4,104,"115",539,-424,103,18.8,19.7,60140,33.43
"Suriname",2278,1408,82588,"SUR","South America",592,3.8,"Paramaribo",239.5,"04-Dec-75",163820,101,"Surinam Dollar (SRD)",14.2,3697,0.3,6359.6,99,"1686",2047,-361,275,66.1,26.4,267820,45.26
"Uruguay",2230,7634,1039238,"URY","South America",3485,19.9,"Montevideo",1744.7,"18-Dec-45",173626,93.6,"Peso Uruguayo (UYU)",42.3,56046,0.2,16190.1,102,"6853",7564,-711,-297,95.4,27.9,3010373,87.95
"Liechtenstein",2210,87,21491,"LIE","Western Europe",38,239.1,"Vaduz",5.5,"18-Sep-90",160,NA,"Swiss Franc (CHF)",0.9,6798,0.6,178799.4,NA,NA,NA,NA,NA,14.4,NA,26771,68.02
"Barbados",2201,620,110023,"BRB","Caribbean",288,669.1,"Bridgetown",89.2,"09-Dec-66",431,93.9,"Barbados Dollar (BBD)",2,5209,-0.1,18149,106,"345",1501,-1156,-453,31.2,23.1,163846,58.17
"Estonia",2188,2902,602187,"EST","Northern Europe",1325,31.3,"Tallinn",441.3,"17-Sep-91",45261,90.3,"Euro (EUR)",0.8,31471,5,23740.2,107,NA,NA,NA,-244,69.1,21.2,869431,65.56
"French Polynesia",2118,649,78632,"PYF","Polynesia",282,77.2,"Papeete",136,NA,3687,102.5,"CFP Franc (XPF)d",97.2,6023,2.4,21566.9,97,"71",1701,-1630,412,61.9,NA,190908,62.33
"Germany",2098,174979,38437756,"DEU","Western Europe",83900,240.7,"Berlin",3556.8,"18-Sep-73",357582,97.9,"Euro (EUR)",0.8,3861124,0.6,46231.6,94,"1382851",1171421,211430,266326,77.4,22.3,64876299,77.82
"Sint Maarten",2081,92,11051,"SXM","Caribbean",43,1277.1,"Philipsburg",40.6,NA,34,NA,"Neth. Ant. Guilder (ANG)c",1.8,1009,5,23803.9,NA,NA,NA,NA,-149,100,NA,29788,67.41
"Bahamas",2058,844,38084,"BHS","Caribbean",397,39.7,"Nassau",279.7,"18-Sep-73",13940,94.6,"Bahamian Dollar (BSD)",1,13579,1.2,34863.7,101,"410",2790,-2380,-2065,83.1,31.6,174810,42.64
"British Virgin Islands",2042,64,7305,"VGB","Caribbean",30,202.8,"Road Town",15.1,NA,151,NA,"US Dollar (USD)",NA,1297,2.6,43188.6,NA,NA,NA,NA,NA,48.1,NA,19466,62.55
"Ecuador",2002,36043,1069135,"ECU","South America",17888,72,"Quito",1847.7,"21-Dec-45",257217,100,"US Dollar (USD)",NA,107436,0.1,6183.8,98,"20224",16140,4084,2474,64,19.9,15333873,85.18
"Lebanon",1994,10947,1239904,"LBN","Western Asia",6769,661.7,"Beirut",2406.9,"24-Oct-45",10452,101.5,"Lebanese Pound (LBP)",1507.5,53367,-5.6,7784.3,101,"3468",15472,-12004,-11540,88.8,32,2740227,49.92
"Andorra",1991,159,48015,"AND","Southern Europe",77,164.6,"Andorra la Vella",22.6,"28-Jul-93",468,NA,"Euro (EUR)",0.8,3154,1.8,40887.4,NA,"165",1499,-1334,568,88,25.6,57901,72.52
"Panama",1962,8654,1047555,"PAN","Central America",4382,58.9,"Panama City",1821.7,"13-Nov-45",75320,100.2,"Balboa (PAB)",1,66788,3,15728,104,NA,NA,NA,1233,68.1,22.7,3533477,80.15
"Grenada",1897,238,19693,"GRD","Caribbean",113,332.4,"Saint George's",39.3,"17-Sep-74",345,101.4,"E. Caribbean Dollar (XCD)c",2.7,1212,2,10817.7,85,"25",395,-370,-116,36.4,21.3,44241,35.26
"Finland",1852,10265,1486084,"FIN","Northern Europe",5548,18.3,"Helsinki",1292.2,"14-Dec-55",336872,97.4,"Euro (EUR)",0.8,269296,1.1,48678.4,102,"65600",67878,-2279,2342,NA,22.2,4524249,81.65
"Republic of Ireland",1841,9249,1721152,"IRL","Northern Europe",4983,72.3,"Dublin",1214.7,"14-Dec-55",69825,98.7,"Euro (EUR)",0.8,398590,5.6,81636.6,113,"184131",98389,85742,-44934,63.4,25.3,4108868,81.8
"Monaco",1836,67,17001,"MCO","Western Europe",40,26523.5,"Monaco",38.9,"28-May-93",2,NA,"Euro (EUR)",0.8,7424,7.6,190532.5,NA,NA,NA,NA,NA,100,NA,26672,67.49
"Bolivia",1832,22404,1208716,"BOL","South America",11833,10.9,"Sucred",277.9,"14-Nov-45",1098581,100.7,"Boliviano (BOB)",6.9,40895,2.2,3552.1,110,"7033",7115,-82,-176,69.8,20.2,7361008,60.94
"Costa Rica",1819,9428,1238884,"CRI","Central America",5139,100.6,"San José",1378.5,"02-Nov-45",51100,99.8,"Costa Rican Colon (CRC)",613.9,61774,2.1,12238.4,107,"12011",13965,-1954,-1289,80.1,25.7,4641899,89.6
"Montserrat",1812,8,1403,"MSR","Caribbean",5,49.8,"Brades Estate",0.5,NA,103,NA,"E. Caribbean Dollar (XCD)c",2.7,67,5.9,13487.5,NA,"5",NA,-25,-1,9.1,NA,2104,47.68
