"Country","iso3c","Deaths.per.million","population.density","GDP.per.capita","Obesity.rate","Vaccination.rate"
"Peru","PER",6511,26.1,6977.8,19.7,89.67
"Bulgaria","BGR",5664,63.5,9703.5,25,31.09
"Bosnia and Herzegovina","BIH",5057,64,6108.6,17.9,28.91
"Hungary","HUN",4896,106.4,16879.1,26.4,64.42
"North Macedonia","MKD",4750,82.6,6093.1,22.4,40.82
"Georgia","GEO",4575,57.3,4439.3,21.7,44.03
"Croatia","HRV",4553,72.9,14627.3,24.4,57.61
"Slovenia","SVN",4456,103.2,26062.2,20.2,59.72
"Montenegro","MNE",4232,46.7,8825.3,23.3,46.63
"Czech Republic","CZE",4083,138.8,23451.7,26,66.48
"Latvia","LVA",3989,30,17885.4,23.6,71.84
"Slovakia","SVK",3750,113.6,19255.9,20.5,51.82
"Moldova","MDA",3704,122.5,2956.9,18.9,33.88
"Greece","GRC",3617,80.5,19604.5,24.9,76.42
"Lithuania","LTU",3530,42.9,19795.2,26.3,71.17
"Romania","ROU",3476,83.1,12914.1,22.5,41.65
"United Kingdom","GBR",3403,281.9,41854.5,27.8,79.97
"United States","USA",3331,36.4,65133.7,41.9,81.39
"Brazil","BRA",3272,25.6,8755.3,22.1,88.08
"Italy","ITA",3247,205.2,33089.6,19.9,86.27
"Armenia","ARM",3147,104.3,4622.7,20.2,40.35
"Chile","CHL",3142,25.8,14896.5,28,92.27
"Poland","POL",3002,123.4,15727,23.1,57.4
"Belgium","BEL",2946,384.2,46198.3,22.1,79.51
"Paraguay","PRY",2945,18.2,5406.5,20.3,58.9
"Trinidad and Tobago","TTO",2867,273.6,16637.3,18.6,49.39
"Argentina","ARG",2866,16.7,10041.5,28.3,91.21
"Russia","RUS",2764,8.9,11605.6,23.1,61.56
"Colombia","COL",2756,46.2,6432.4,22.3,82.92
"Portugal","PRT",2670,111,23350.4,20.8,95.33
"Serbia","SRB",2627,99.4,7359.3,21.5,48.81
"Mexico","MEX",2624,67,9848.6,54.7,76.22
"Spain","ESP",2562,93.7,29815.7,23.8,86.95
"Austria","AUT",2520,109.7,49700.8,20.1,77.18
"Tunisia","TUN",2381,76.8,3317.5,26.9,58.42
