"","Country","Region","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","iso3c"
"1","Afghanistan","Southern Asia",39835,61,"Kabul",4114,"19-Nov-46","652864",105.3,"Afghani (AFN)",77.1,17877,4,469.9,111,"1022",9683,-8661,-3137,25.8,"AFG"
"2","Albania","Southern Europe",2873,104.9,"Tirana",484.6,"14-Dec-55","28748",103.6,"Lek (ALL)",100.8,15278,2.2,5303.2,103,NA,NA,NA,-1318,61.2,"ALB"
"3","Algeria","Northern Africa",44617,18.7,"Algiers",2729.3,"08-Oct-62","2381741",102.1,"Algerian Dinar (DZD)",132.1,171158,0.8,3975.5,112,"28986",41678,-12692,-17148,73.2,"DZA"
"4","American Samoa","Polynesia",55,275.5,"Pago Pago",48.5,NA,"199",NA,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1,"ASM"
"5","Andorra","Southern Europe",77,164.6,"Andorra la Vella",22.6,"28-Jul-93","468",NA,"Euro (EUR)",0.8,3154,1.8,40887.4,NA,"165",1499,-1334,568,88,"AND"
"6","Angola","Middle Africa",33934,27.2,"Luanda",8044.7,"01-Dec-76","1246700",97.9,"Kwanza (AOA)",656.2,85001,-1.5,2670.9,110,"72235",40991,31244,894,66.2,"AGO"
"7","Anguilla","Caribbean",15,168.1,"The Valley",1.4,NA,"91",NA,"E. Caribbean Dollar (XCD)c",2.7,380,5.4,25528.6,NA,NA,NA,NA,-136,100,"AIA"
"8","Antigua and Barbuda","Caribbean",99,224.4,"Saint John's",20.8,"11-Nov-81","442",93.4,"E. Caribbean Dollar (XCD)c",2.7,1662,3.4,17112.8,93,"22",401,-380,-113,24.5,"ATG"
"9","Argentina","South America",45606,16.7,"Buenos Aires",15057.3,"24-Oct-45","2796427",95.3,"Argentine Peso (ARS)",84,449664,-2.2,10041.5,113,"54884",42356,12528,2985,92,"ARG"
"10","Armenia","Western Asia",2968,104.3,"Yerevan",1083.3,"02-Mar-92","29743",88.8,"Armenian Dram (AMD)",522.6,13673,7.6,4622.7,81,"2520",4541,-2021,-394,63.2,"ARM"
"11","Aruba","Caribbean",107,595.5,"Oranjestad",29.9,NA,"180",90.2,"Aruban Florin (AWG)",1.8,3293,-0.7,30974.7,NA,"66",939,-873,-324,43.5,"ABW"
"12","Australia","Oceania",25788,3.4,"Canberra",452.5,"01-Nov-45","7692024",99.2,"Australian Dollar (AUD)",1.3,1380208,-0.3,54763.2,89,NA,NA,NA,33829,NA,"AUS"
"13","Austria","Western Europe",9043,109.7,"Vienna",1915.3,"14-Dec-55","83878",97.4,"Euro (EUR)",0.8,445075,1.4,49700.8,100,"164332",162981,1351,10781,58.5,"AUT"
"14","Azerbaijan","Western Asia",10223,123.7,"Baku",2313.1,"02-Mar-92","86600",99.9,"Azerbaijan manat (AZN)",1.7,48048,2.2,4781.9,126,"13741",10730,3011,-228,NA,"AZE"
"15","Bahamas","Caribbean",397,39.7,"Nassau",279.7,"18-Sep-73","13940",94.6,"Bahamian Dollar (BSD)",1,13579,1.2,34863.7,101,"410",2790,-2380,-2065,83.1,"BHS"
"16","Bahrain","Western Asia",1748,2300.4,"Manama",600.4,"21-Sep-71","778",184.5,"Bahraini Dinar (BHD)",0.4,38574,1.8,23504,129,"14066",14193,-127,-2435,89.4,"BHR"
"17","Bangladesh","Southern Asia",166304,1277.6,"Dhaka",20283.6,"17-Sep-74","148460",102.1,"Taka (BDT)",84.8,301051,8.2,1846.4,109,"30768",45777,-15009,1082,37.4,"BGD"
"18","Barbados","Caribbean",288,669.1,"Bridgetown",89.2,"09-Dec-66","431",93.9,"Barbados Dollar (BBD)",2,5209,-0.1,18149,106,"345",1501,-1156,-453,31.2,"BRB"
"19","Belarus","Eastern Europe",9443,46.5,"Minsk",2016.7,"24-Oct-45","207600",87.2,"Belarusian Ruble (BYN)",2.6,63081,1.2,6673.5,101,"29040",32592,-3553,-241,79,"BLR"
"20","Belgium","Western Europe",11632,384.2,"Brussels",2065.3,"27-Dec-45","30528",98.4,"Euro (EUR)",0.8,533097,1.7,46198.3,102,"298313",301292,-2979,-933,98,"BEL"
"21","Belize","Central America",405,17.8,"Belmopan",23,"25-Sep-81","22965",98.8,"Belize Dollar (BZD)",2,1907,0.3,4815.2,99,"212",787,-575,-128,45.9,"BLZ"
"22","Benin","Western Africa",12451,110.4,"Porto-Novoc",285.3,"20-Sep-60","114763",99.8,"CFA Franc, BCEAO (XOF)d",534.6,14403,6.9,1220.5,119,"763",2551,-1788,-581,47.9,"BEN"
"23","Bermuda","Northern America",62,1241.8,"Hamilton",10.1,NA,"54",NA,"Bermudian Dollar (BMD)",1,7361,2.4,117767.9,NA,"19",904,-885,828,100,"BMU"
"24","Bhutan","Southern Asia",780,20.5,"Thimphu",203.3,"21-Sep-71","38394",113.7,"Ngultrum (BTN)",73,2564,3.8,3360.6,99,"584",922,-337,-381,41.6,"BTN"
"25","Bolivia (Plurinational State of)","South America",11833,10.9,"Sucred",277.9,"14-Nov-45","1098581",100.7,"Boliviano (BOB)",6.9,40895,2.2,3552.1,110,"7033",7115,-82,-176,69.8,"BOL"
"26","Bonaire, Sint Eustatius and Saba","Caribbean",26,80.6,"Kralendijk",11.3,NA,NA,NA,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"BES"
"27","Bosnia and Herzegovina","Southern Europe",3264,64,"Sarajevo",342.7,"22-May-92","51209",95.9,"Convertible Mark (BAM)",1.6,20164,2.7,6108.6,105,"6149",9867,-3719,-635,48.6,"BIH"
"28","Botswana","Southern Africa",2397,4.2,"Gaborone",269.3,"17-Oct-66","582000",94.2,"Pula (BWP)",10.8,18341,3,7961.4,98,"4256",6503,-2247,-1397,70.2,"BWA"
"29","Brazil","South America",213993,25.6,"Brasilia",4559,"24-Oct-45","8515767",96.5,"Brazilian Real (BRL)",5.2,1847796,1.1,8755.3,110,NA,NA,NA,-24074,86.8,"BRA"
"30","British Virgin Islands","Caribbean",30,202.8,"Road Town",15.1,NA,"151",NA,"US Dollar (USD)",NA,1297,2.6,43188.6,NA,NA,NA,NA,NA,48.1,"VGB"
"31","Brunei Darussalam","South-eastern Asia",442,83.8,"Bandar Seri Begawan",40.8,"21-Sep-84","5765",107.7,"Brunei Dollar (BND)",1.3,13469,3.9,31086.3,97,"7113",7236,-124,514,77.9,"BRN"
"32","Bulgaria","Eastern Europe",6897,63.5,"Sofia",1276.9,"14-Dec-55","110372",94.4,"Bulgarian Lev (BGN)",1.6,67926,3.4,9703.5,106,"31801",34880,-3079,-538,75.3,"BGR"
"33","Burkina Faso","Western Africa",21497,78.6,"Ouagadougou",2652.7,"20-Sep-60","272967",100,"CFA Franc, BCEAO (XOF)c",534.6,15991,5.7,786.9,107,"3269",4150,-882,-524,30,"BFA"
"34","Burundi","Eastern Africa",12255,477.2,"Gitega",899,"18-Sep-62","27834",98.5,"Burundi Franc (BIF)",1946.4,3002,1.8,260.4,150,"164",878,-713,-363,13.4,"BDI"
"35","Cabo Verde","Western Africa",562,139.4,"Praia",167.5,"16-Sep-75","4033",100.8,"Cabo Verde Escudo (CVE)",89.8,1982,5.7,3603.8,80,"53",727,-674,-274,66.2,"CPV"
"36","Cambodia","South-eastern Asia",16946,96,"Phnom Penh",2014,"14-Dec-55","181035",95.4,"Riel (KHR)",4076.5,27098,6.8,1643.6,121,"17543",18696,-1153,-3076,23.8,"KHM"
"37","Cameroon","Middle Africa",27224,57.6,"Yaoundé",3822.4,"20-Sep-60","475650",100.1,"CFA Franc, BEAC (XAF)c",534.6,38861,3.9,1501.8,107,"4437",7452,-3014,-1695,57,"CMR"
"38","Canada","Northern America",38068,4.2,"Ottawa",1378.2,"09-Nov-45","9984670",98.6,"Canadian Dollar (CAD)",1.3,1741497,1.9,46550.3,111,NA,NA,NA,-29722,81.5,"CAN"
"39","Cayman Islands","Caribbean",66,277.1,"George Town",34.9,NA,"264",NA,"Cayman Islands Dollar (KYD)",0.8,6020,3.2,92692.4,NA,NA,1337,NA,-582,100,"CYM"
