"","Country","Deaths...million","Deaths","Cases","iso3c"
"1","World","872","6,960,770","771,150,460",NA
"2","Peru","6,511","221,704","4,520,727","PER"
"3","Bulgaria","5,664","38,414","1,302,188","BGR"
"4","Bosnia and Herzegovina","5,057","16,354","403,155","BIH"
"5","Hungary","4,896","48,807","2,206,311","HUN"
"6","North Macedonia","4,750","9,946","349,104","MKD"
"7","Georgia","4,575","17,132","1,855,289","GEO"
"8","Croatia","4,553","18,351","1,275,337","HRV"
"9","Slovenia","4,456","9,448","1,345,384","SVN"
"10","Montenegro","4,232","2,654","251,280","MNE"
"11","Czech Republic","4,083","42,849","4,651,538","CZE"
"12","Latvia","3,989","7,384","976,316","LVA"
"13","Slovakia","3,750","21,167","1,867,525","SVK"
"14","San Marino","3,739","126","24,644","SMR"
"15","Moldova","3,704","12,126","623,684","MDA"
"16","Greece","3,617","37,572","5,405,742","GRC"
"17","Lithuania","3,530","9,710","1,329,905","LTU"
"18","Romania","3,476","68,341","3,455,207","ROU"
"19","Gibraltar","3,458","113","20,550","GIB"
"20","United Kingdom","3,403","229,765","24,743,787","GBR"
"21","United States","3,331","1,127,152","103,436,829","USA"
"22","Brazil","3,272","704,659","37,721,749","BRA"
"23","Italy","3,247","191,715","26,082,645","ITA"
"24","Armenia","3,147","8,751","449,650","ARM"
"25","Chile","3,142","61,607","5,288,823","CHL"
"26","Martinique","3,003","1,104","230,354","MTQ"
"27","Poland","3,002","119,654","6,523,335","POL"
"28","Belgium","2,946","34,339","4,817,196","BEL"
"29","Paraguay","2,945","19,971","735,853","PRY"
"30","Trinidad and Tobago","2,867","4,390","191,496","TTO"
"31","Argentina","2,866","130,472","10,054,576","ARG"
"32","Ukraine","2,768","109,918","5,520,483","UKR"
"33","European Union","2,765","1,244,831","184,084,567",NA
"34","Russia","2,764","400,047","23,029,404","RUS"
"35","Colombia","2,756","142,977","6,381,470","COL"
"36","Aruba","2,742","292","44,224","ABW"
"37","Portugal","2,670","27,424","5,621,015","PRT"
"38","Serbia","2,627","18,057","2,552,178","SRB"
"39","Mexico","2,624","334,630","7,690,908","MEX"
"40","France","2,599","167,985","38,997,490","FRA"
"41","Guadeloupe","2,579","1,021","203,235","GLP"
"42","Bermuda","2,569","165","18,860","BMU"
"43","Spain","2,562","121,852","13,980,340","ESP"
"44","Austria","2,520","22,534","6,081,287","AUT"
"45","Guam","2,421","416","52,017","GUM"
"46","Tunisia","2,381","29,423","1,153,361","TUN"
"47","Sweden","2,354","24,834","2,717,141","SWE"
"48","Saint Lucia","2,279","410","30,082","LCA"
"49","Suriname","2,278","1,408","82,588","SUR"
"50","Uruguay","2,230","7,634","1,039,238","URY"
"51","Liechtenstein","2,210","87","21,491","LIE"
"52","Barbados","2,201","620","110,023","BRB"
"53","Estonia","2,188","2,902","602,187","EST"
"54","French Polynesia","2,118","649","78,632","PYF"
"55","Germany","2,098","174,979","38,437,756","DEU"
"56","Sint Maarten","2,081","92","11,051","SXM"
"57","Bahamas","2,058","844","38,084","BHS"
"58","British Virgin Islands","2,042","64","7,305","VGB"
"59","Ecuador","2,002","36,043","1,069,135","ECU"
"60","Lebanon","1,994","10,947","1,239,904","LBN"
"61","Andorra","1,991","159","48,015","AND"
"62","Panama","1,962","8,654","1,047,555","PAN"
"63","Grenada","1,897","238","19,693","GRD"
"64","Finland","1,852","10,265","1,486,084","FIN"
"65","Republic of Ireland","1,841","9,249","1,721,152","IRL"
"66","Monaco","1,836","67","17,001","MCO"
"67","Bolivia","1,832","22,404","1,208,716","BOL"
"68","Puerto Rico","1,825","5,938","1,252,713","PRI"
"69","Costa Rica","1,819","9,428","1,238,884","CRI"
"70","Montserrat","1,812","8","1,403","MSR"
"71","Kosovo","1,801","3,210","274,020",NA
"72","Hong Kong","1,798","13,466","2,876,106","HKG"
"73","South Africa","1,712","102,595","4,072,533","ZAF"
"74","Belize","1,697","688","71,060","BLZ"
"75","Malta","1,653","882","120,422","MLT"
"76","Iran","1,653","146,410","7,617,752","IRN"
"77","Switzerland","1,608","14,055","4,413,452","CHE"
"78","Guyana","1,606","1,299","73,387","GUY"
"79","Seychelles","1,605","172","50,937","SYC"
"80","Namibia","1,596","4,098","171,998","NAM"
"81","Curaçao","1,595","305","45,883","CUW"
"82","Antigua and Barbuda","1,556","146","9,106","ATG"
"83","Luxembourg","1,544","1,000","384,378","LUX"
"84","Cyprus","1,522","1,364","660,854","CYP"
"85","Caribbean Netherlands","1,515","41","11,922","BES"
"86","Denmark","1,500","8,824","3,417,017","DNK"
"87","Jersey","1,453","161","66,391","JEY"
"88","Collectivity of Saint Martin","1,445","46","12,324","MAF"
"89","Canada","1,385","53,260","4,712,542","CAN"
"90","Isle of Man","1,372","116","38,008","IMN"
"91","French Guiana","1,356","413","98,041","GUF"
"92","Israel","1,343","12,691","4,839,886","ISR"
"93","United States Virgin Islands","1,326","132","25,389","VIR"
"94","Netherlands","1,308","22,986","8,618,815","NLD"
"95","Jamaica","1,275","3,606","156,328","JAM"
"96","Albania","1,267","3,604","334,090","ALB"
"97","Jordan","1,251","14,122","1,746,997","JOR"
"98","Saint Vincent and the Grenadines","1,192","124","9,644","VCT"
"99","Turkey","1,188","101,419","17,004,677","TUR"
"100","Eswatini","1,187","1,427","74,996","SWZ"
"101","Guatemala","1,134","20,235","1,271,070","GTM"
"102","Malaysia","1,095","37,194","5,129,131","MYS"
"103","Palestine","1,087","5,708","703,228","PSE"
"104","New Caledonia","1,082","314","80,064","NCL"
"105","Honduras","1,066","11,127","474,587","HND"
"106","Botswana","1,064","2,800","330,275","BWA"
"107","Guernsey","1,057","67","35,326","GGY"
"108","Norway","1,049","5,705","1,489,076","NOR"
"109","Bahrain","1,043","1,536","696,614","BHR"
"110","Dominica","1,017","74","15,760","DMA"
"111","Oman","1,011","4,628","399,449","OMN"
"112","Azerbaijan","997","10,332","833,189","AZE"
"113","Kazakhstan","983","19,072","1,502,857","KAZ"
"114","Saint Kitts and Nevis","964","46","6,607","KNA"
"115","Fiji","951","885","69,047","FJI"
"116","Réunion","945","921","494,595","REU"
"117","Libya","944","6,437","507,269","LBY"
"118","Australia","883","23,129","11,608,166","AUS"
"119","Turks and Caicos Islands","852","39","6,630","TCA"
"120","Northern Mariana Islands","827","41","14,285","MNP"
"121","Mauritius","811","1,054","309,830","MUS"
"122","Sri Lanka","773","16,882","672,589","LKA"
"123","American Samoa","767","34","8,359","ASM"
"124","Cuba","760","8,530","1,115,103","CUB"
"125","Anguilla","755","12","3,904","AIA"
"126","Belarus","746","7,118","994,037","BLR"
"127","Taiwan","739","17,672","9,970,937","TWN"
"128","Cabo Verde","699","415","64,401","CPV"
"129","South Korea","693","35,934","34,571,873","KOR"
"130","Wallis and Futuna","689","8","3,550","WLF"
"131","Mongolia","672","2,284","1,011,116","MNG"
"132","El Salvador","667","4,230","201,807","SLV"
"133","New Zealand","645","3,347","2,385,438","NZL"
"134","Maldives","603","316","186,694","MDV"
"135","Japan","602","74,694","33,803,572","JPN"
"136","Kuwait","602","2,570","666,333","KWT"
"137","Indonesia","587","161,918","6,813,429","IDN"
"138","Philippines","577","66,696","4,113,434","PHL"
"139","Mayotte","573","187","42,027","MYT"
"140","Iraq","570","25,375","2,465,545","IRQ"
"141","Federated States of Micronesia","569","65","26,547","FSM"
"142","Cayman Islands","538","37","31,472","CYM"
"143","Faroe Islands","527","28","34,658","FRO"
"144","Iceland","498","186","209,142","ISL"
"145","Palau","497","9","6,241","PLW"
"146","Thailand","480","34,474","4,757,473","THA"
"147","Saint Barthélemy","454","5","5,507","BLM"
"148","Vietnam","440","43,206","11,623,698","VNM"
"149","Morocco","435","16,297","1,276,812","MAR"
"150","Marshall Islands","408","17","16,133","MHL"
"151","Nepal","393","12,031","1,003,441","NPL"
"152","Dominican Republic","390","4,384","667,073","DOM"
"153","India","375","532,032","44,998,838","IND"
"154","Greenland","371","21","11,971","GRL"
"155","Brunei","363","163","311,449","BRN"
"156","Myanmar","359","19,494","641,280","MMR"
"157","Sao Tome and Principe","351","80","6,597","STP"
"158","Zimbabwe","350","5,718","265,753","ZWE"
"159","Saint Pierre and Miquelon","339","2","3,426","SPM"
"160","Singapore","332","1,872","2,594,809","SGP"
"161","Lesotho","306","706","34,490","LSO"
"162","Saudi Arabia","264","9,646","841,469","SAU"
"163","Qatar","256","690","514,524","QAT"
"164","United Arab Emirates","248","2,349","1,067,030","ARE"
"165","Egypt","223","24,830","516,023","EGY"
"166","Solomon Islands","211","153","21,611","SLB"
"167","Mauritania","210","997","63,757","MRT"
"168","Venezuela","206","5,856","552,695","VEN"
"169","Zambia","203","4,069","349,287","ZMB"
"170","Afghanistan","193","7,950","226,220","AFG"
"171","Comoros","191","160","9,109","COM"
"172","Kiribati","182","24","5,085","KIR"
"173","Cambodia","182","3,056","138,941","KHM"
"174","Macau","174","121","3,514","MAC"
"175","Bangladesh","172","29,477","2,045,734","BGD"
"176","Djibouti","168","189","15,690","DJI"
"177","Kyrgyzstan","154","1,024","88,889","KGZ"
"178","Algeria","153","6,881","271,910","DZA"
"179","Syria","142","3,163","57,423","SYR"
"180","Samoa","139","31","16,778","WSM"
"181","Gambia","137","372","12,626","GMB"
"182","Malawi","131","2,686","88,986","MWI"
"183","Pakistan","129","30,656","1,580,631","PAK"
"184","Gabon","128","307","48,992","GAB"
"185","Cook Islands","117","2","7,158","COK"
"186","Senegal","113","1,971","89,022","SEN"
"187","Tonga","112","12","16,825","TON"
"188","Equatorial Guinea","109","183","17,130","GNQ"
"189","Sudan","107","5,046","63,993","SDN"
"190","Rwanda","106","1,468","133,194","RWA"
"191","Kenya","105","5,689","343,955","KEN"
"192","Timor-Leste","102","138","23,460","TLS"
"193","Laos","89","671","218,870","LAO"
"194","Tuvalu","88","1","2,943","TUV"
"195","China","85","121,714","99,312,876","CHN"
"196","Guinea-Bissau","84","177","9,614","GNB"
"197","Nauru","78","1","5,393","NRU"
"198","Somalia","77","1,361","27,334","SOM"
"199","Uganda","76","3,632","171,843","UGA"
"200","Haiti","74","860","34,326","HTI"
"201","Cameroon","70","1,974","125,090","CMR"
"202","Mozambique","68","2,249","233,652","MOZ"
"203","Papua New Guinea","66","670","46,864","PNG"
"204","Republic of the Congo","65","389","25,196","COG"
"205","Yemen","64","2,159","11,945","YEM"
"206","Ethiopia","61","7,574","501,060","ETH"
"207","Liberia","55","294","7,930","LBR"
"208","Angola","54","1,936","105,968","AGO"
"209","Madagascar","48","1,425","68,344","MDG"
"210","Ghana","43","1,462","171,653","GHA"
"211","Vanuatu","42","14","12,019","VUT"
"212","Nicaragua","35","245","16,043","NIC"
"213","Guinea","33","468","38,563","GIN"
"214","Mali","32","743","33,152","MLI"
"215","Togo","32","290","39,522","TGO"
"216","Ivory Coast","29","835","88,338","CIV"
"217","Uzbekistan","29","1,016","174,123","UZB"
"218","Eritrea","27","103","10,189","ERI"
"219","Bhutan","26","21","62,697","BTN"
"220","Central African Republic","20","113","15,367","CAF"
"221","Burkina Faso","17","396","22,056","BFA"
"222","Democratic Republic of the Congo","14","1,468","98,863","COD"
"223","Sierra Leone","14","125","7,766","SLE"
"224","Nigeria","14","3,155","286,572","NGA"
"225","Tanzania","12","846","43,078","TZA"
"226","South Sudan","12","138","18,368","SSD"
"227","Tajikistan","12","125","17,786","TJK"
"228","Benin","12","163","28,036","BEN"
"229","Niger","12","315","9,515","NER"
"230","Chad","10","194","7,698","TCD"
"231","Burundi","1","15","54,366","BDI"
"232","North Korea","0","6","1","PRK"
"233","Pitcairn Islands",NA,NA,"4","PCN"
"234","Falkland Islands",NA,NA,"1,923","FLK"
"235","Niue",NA,NA,"887","NIU"
"236","Turkmenistan",NA,"0","0","TKM"
"237","Vatican City",NA,"0","26","VAT"
"238","Tokelau",NA,"0","80","TKL"
"239","Saint Helena, Ascension and Tristan da Cunha",NA,NA,"2,166","SHN"
