"","Country","Obesity.rate....","iso3c"
"1","Cook Islands",55.9,"COK"
"2","Palau",55.3,"PLW"
"3","Marshall Islands",52.9,"MHL"
"4","Tuvalu",51.6,"TUV"
"5","Tonga",48.2,"TON"
"6","Samoa",47.3,"WSM"
"7","Kiribati",46,"KIR"
"8","Federated States of Micronesia",45.8,"FSM"
"9","United States",41.9,"USA"
"10","Kuwait",37.9,"KWT"
"11","Jordan",35.5,"JOR"
"12","Saudi Arabia",35.4,"SAU"
"13","Qatar",35.1,"QAT"
"14","Libya",32.5,"LBY"
"15","Turkey",32.1,"TUR"
"16","Egypt",32,"EGY"
"17","Lebanon",32,"LBN"
"18","United Arab Emirates",31.7,"ARE"
"19","Bahamas",31.6,"BHS"
"20","New Zealand",30.8,"NZL"
"21","Iraq",30.4,"IRQ"
"22","Fiji",30.2,"FJI"
"23","Canada",29.8,"CAN"
"24","Australia",29,"AUS"
"25","Malta",28.9,"MLT"
"26","Mexico",54.7,"MEX"
"27","Argentina",28.3,"ARG"
"28","South Africa",28.3,"ZAF"
"29","Chile",28,"CHL"
"30","Dominica",27.9,"DMA"
"31","Uruguay",27.9,"URY"
"32","Syria",27.8,"SYR"
"33","United Kingdom",27.8,"GBR"
"34","Dominican Republic",27.8,"DOM"
"35","Algeria",27.4,"DZA"
"36","Oman",27,"OMN"
"37","Tunisia",26.9,"TUN"
"38","Suriname",26.4,"SUR"
"39","Hungary",26.4,"HUN"
"40","Lithuania",26.3,"LTU"
"41","Morocco",26.1,"MAR"
"42","Israel",26.1,"ISR"
"43","Czech Republic",26,"CZE"
"44","Iran",25.8,"IRN"
"45","Costa Rica",25.7,"CRI"
"46","Andorra",25.6,"AND"
"47","Venezuela",25.6,"VEN"
"48","Ireland",25.3,"IRL"
"49","Vanuatu",25.2,"VUT"
"50","Bulgaria",25,"BGR"
"51","Greece",24.9,"GRC"
"52","Jamaica",24.7,"JAM"
"53","Cuba",24.6,"CUB"
"54","El Salvador",24.6,"SLV"
"55","Belarus",24.5,"BLR"
"56","Croatia",24.4,"HRV"
"57","Belize",24.1,"BLZ"
"58","Ukraine",24.1,"UKR"
"59","Spain",23.8,"ESP"
"60","Nicaragua",23.7,"NIC"
"61","Saint Vincent and the Grenadines",23.7,"VCT"
"62","Latvia",23.6,"LVA"
"63","Montenegro",23.3,"MNE"
"64","Norway",23.1,"NOR"
"65","Barbados",23.1,"BRB"
"66","Poland",23.1,"POL"
"67","Russia",23.1,"RUS"
"68","Saint Kitts and Nevis",22.9,"KNA"
"69","Panama",22.7,"PAN"
"70","Haiti",22.7,"HTI"
"71","Luxembourg",22.6,"LUX"
"72","Solomon Islands",22.5,"SLB"
"73","Romania",22.5,"ROU"
"74","North Macedonia",22.4,"MKD"
"75","Colombia",22.3,"COL"
"76","Germany",22.3,"DEU"
"77","Finland",22.2,"FIN"
"78","Belgium",22.1,"BEL"
"79","Brazil",22.1,"BRA"
"80","Iceland",21.9,"ISL"
"81","Cyprus",21.8,"CYP"
"82","Albania",21.7,"ALB"
"83","Georgia",21.7,"GEO"
"84","France",21.6,"FRA"
"85","Serbia",21.5,"SRB"
"86","Honduras",21.4,"HND"
"87","Grenada",21.3,"GRD"
"88","Papua New Guinea",21.3,"PNG"
"89","Estonia",21.2,"EST"
"90","Guatemala",21.2,"GTM"
"91","Kazakhstan",21,"KAZ"
"92","Portugal",20.8,"PRT"
"93","Mongolia",20.6,"MNG"
"94","Sweden",20.6,"SWE"
"95","Slovakia",20.5,"SVK"
"96","Netherlands",20.4,"NLD"
"97","Paraguay",20.3,"PRY"
"98","Guyana",20.2,"GUY"
"99","Slovenia",20.2,"SVN"
"100","Armenia",20.2,"ARM"
"101","Bolivia",20.2,"BOL"
"102","Austria",20.1,"AUT"
"103","Azerbaijan",19.9,"AZE"
"104","Italy",19.9,"ITA"
"105","Ecuador",19.9,"ECU"
"106","Peru",19.7,"PER"
"107","Saint Lucia",19.7,"LCA"
"108","Denmark",19.7,"DNK"
"109","Switzerland",19.5,"CHE"
"110","Antigua and Barbuda",18.9,"ATG"
"111","Botswana",18.9,"BWA"
"112","Moldova",18.9,"MDA"
"113","Trinidad and Tobago",18.6,"TTO"
"114","Turkmenistan",18.6,"TKM"
"115","Bosnia and Herzegovina",17.9,"BIH"
"116","Namibia",17.2,"NAM"
"117","Yemen",17.1,"YEM"
"118","Kyrgyzstan",16.6,"KGZ"
"119","Lesotho",16.6,"LSO"
"120","Uzbekistan",16.6,"UZB"
"121","Eswatini",16.5,"SWZ"
"122","Malaysia",15.6,"MYS"
"123","Zimbabwe",15.5,"ZWE"
"124","Gabon",15,"GAB"
"125","Tajikistan",14.2,"TJK"
"126","Brunei",14.1,"BRN"
"127","Seychelles",14,"SYC"
"128","Djibouti",13.5,"DJI"
"129","Mauritania",12.7,"MRT"
"130","São Tomé and Príncipe",12.4,"STP"
"131","Cape Verde",11.8,"CPV"
"132","Cameroon",11.4,"CMR"
"133","Ghana",10.9,"GHA"
"134","Mauritius",10.8,"MUS"
"135","Gambia",10.3,"GMB"
"136","Ivory Coast",10.3,"CIV"
"137","Thailand",10,"THA"
"138","Liberia",9.9,"LBR"
"139","Benin",9.6,"BEN"
"140","Republic of the Congo",9.6,"COG"
"141","Guinea-Bissau",9.5,"GNB"
"142","Nigeria",8.9,"NGA"
"143","Senegal",8.8,"SEN"
"144","Sierra Leone",8.7,"SLE"
"145","Maldives",8.6,"MDV"
"146","Mali",8.6,"MLI"
"147","Pakistan",8.6,"PAK"
"148","Togo",8.4,"TGO"
"149","Tanzania",8.4,"TZA"
"150","Somalia",8.3,"SOM"
"151","Angola",8.2,"AGO"
"152","Zambia",8.1,"ZMB"
"153","Equatorial Guinea",8,"GNQ"
"154","Comoros",7.8,"COM"
"155","Guinea",7.7,"GIN"
"156","Central African Republic",7.5,"CAF"
"157","Mozambique",7.2,"MOZ"
"158","Kenya",7.1,"KEN"
"159","Indonesia",6.9,"IDN"
"160","North Korea",6.8,"PRK"
"161","Democratic Republic of the Congo",6.7,"COD"
"162","Sudan",6.6,"SDN"
"163","South Sudan",6.6,"SSD"
"164","Bhutan",6.4,"BTN"
"165","Philippines",6.4,"PHL"
"166","China",6.2,"CHN"
"167","Singapore",6.1,"SGP"
"168","Chad",6.1,"TCD"
"169","Malawi",5.8,"MWI"
"170","Rwanda",5.8,"RWA"
"171","Burkina Faso",5.6,"BFA"
"172","Niger",5.5,"NER"
"173","Afghanistan",5.5,"AFG"
"174","Burundi",5.4,"BDI"
"175","Madagascar",5.3,"MDG"
"176","Laos",5.3,"LAO"
"177","Uganda",5.3,"UGA"
"178","Sri Lanka",5.2,"LKA"
"179","Eritrea",5,"ERI"
"180","South Korea",4.7,"KOR"
"181","Ethiopia",4.5,"ETH"
"182","Japan",4.3,"JPN"
"183","Nepal",4.1,"NPL"
"184","Cambodia",3.9,"KHM"
"185","India",3.9,"IND"
"186","Timor-Leste",3.8,"TLS"
"187","Bangladesh",3.6,"BGD"
"188","Vietnam",2.1,"VNM"
