"","Location","Vaccinated","Percent","iso3c"
"1","World","5,625,493,786",70.54,NA
"2","China","1,310,292,000",91.89,"CHN"
"3","India","1,027,418,330",72.5,"IND"
"4","European Union","338,046,600",75.1,NA
"5","United States","270,227,181",81.39,"USA"
"6","Indonesia","203,845,350",73.99,"IDN"
"7","Brazil","189,643,431",88.08,"BRA"
"8","Pakistan","165,567,890",70.21,"PAK"
"9","Bangladesh","151,504,341",88.5,"BGD"
"10","Japan","104,705,133",84.47,"JPN"
"11","Mexico","97,179,493",76.22,"MEX"
"12","Nigeria","92,261,510",42.22,"NGA"
"13","Vietnam","90,272,853",91.94,"VNM"
"14","Russia","89,081,596",61.56,"RUS"
"15","Philippines","78,484,848",67.92,"PHL"
"16","Iran","65,194,977",73.62,"IRN"
"17","Germany","64,876,299",77.82,"DEU"
"18","Turkey","57,941,051",67.89,"TUR"
"19","Thailand","57,005,497",79.62,"THA"
"20","Egypt","56,907,319",51.27,"EGY"
"21","France","54,677,678",80.63,"FRA"
"22","United Kingdom","53,806,963",79.97,"GBR"
"23","Italy","50,929,393",86.27,"ITA"
"24","South Korea","44,784,499",86.43,"KOR"
"25","Ethiopia","44,073,766",35.72,"ETH"
"26","Colombia","43,012,174",82.92,"COL"
"27","Argentina","41,510,828",91.21,"ARG"
"28","Spain","41,351,234",86.95,"ESP"
"29","Myanmar","34,777,314",64.64,"MMR"
"30","Canada","34,763,194",90.4,"CAN"
"31","Tanzania","34,434,933",52.57,"TZA"
"32","Peru","30,532,913",89.67,"PER"
"33","Malaysia","28,132,491",82.89,"MYS"
"34","Nepal","27,804,935",91.02,"NPL"
"35","Saudi Arabia","27,041,364",74.27,"SAU"
"36","Morocco","25,020,168",66.8,"MAR"
"37","South Africa","24,209,938",40.42,"ZAF"
"38","Poland","22,877,261",57.4,"POL"
"39","Mozambique","22,869,646",69.37,"MOZ"
"40","Australia","22,236,698",84.95,"AUS"
"41","Venezuela","22,157,232",78.29,"VEN"
"42","Taiwan","21,899,240",91.65,"TWN"
"43","Uzbekistan","21,674,823",62.59,"UZB"
"44","Uganda","19,488,104",41.25,"UGA"
"45","Afghanistan","18,148,121",44.13,"AFG"
"46","Chile","18,088,517",92.27,"CHL"
"47","Sri Lanka","17,143,761",78.53,"LKA"
"48","Angola","16,406,741",46.1,"AGO"
"49","Ukraine","15,729,617",36.19,"UKR"
"50","Democratic Republic of the Congo","15,388,889",15.54,"COD"
"51","Ecuador","15,333,873",85.18,"ECU"
"52","Cambodia","15,307,310",91.29,"KHM"
"53","Sudan","15,207,452",32.44,"SDN"
"54","Kenya","14,494,372",26.83,"KEN"
"55","Ivory Coast","13,568,372",48.18,"CIV"
"56","Ghana","13,221,421",39.5,"GHA"
"57","Netherlands","12,596,446",71.72,"NLD"
"58","Zambia","11,637,730",58.14,"ZMB"
"59","Iraq","11,332,925",25.47,"IRQ"
"60","Kazakhstan","10,858,101",55.98,"KAZ"
"61","Cuba","10,768,788",96.05,"CUB"
"62","Rwanda","10,572,981",76.75,"RWA"
"63","United Arab Emirates","9,991,089",100,"ARE"
"64","Portugal","9,791,341",95.33,"PRT"
"65","Belgium","9,267,479",79.51,"BEL"
"66","Somalia","8,972,167",50.99,"SOM"
"67","Guatemala","8,933,623",50.07,"GTM"
"68","Romania","8,187,976",41.65,"ROU"
"69","Greece","7,936,266",76.42,"GRC"
"70","Algeria","7,840,131",17.75,"DZA"
"71","Sweden","7,775,726",73.71,"SWE"
"72","Guinea","7,679,918",55.41,"GIN"
"73","Bolivia","7,361,008",60.94,"BOL"
"74","Dominican Republic","7,352,139",65.48,"DOM"
"75","Tunisia","7,218,871",58.42,"TUN"
"76","Czech Republic","6,976,659",66.48,"CZE"
"77","Hong Kong","6,917,355",92.37,"HKG"
"78","Austria","6,899,873",77.18,"AUT"
"79","Israel","6,723,119",71.15,"ISR"
"80","Honduras","6,596,213",63.23,"HND"
"81","Belarus","6,527,591",68.46,"BLR"
"82","Zimbabwe","6,437,808",40.25,"ZWE"
"83","Hungary","6,420,813",64.42,"HUN"
"84","Nicaragua","6,260,823",90.1,"NIC"
"85","Chad","6,254,729",35.29,"TCD"
"86","Niger","6,217,508",23.72,"NER"
"87","Switzerland","6,096,911",69.75,"CHE"
"88","Burkina Faso","6,089,089",26.86,"BFA"
"89","Laos","5,888,649",79.31,"LAO"
"90","Azerbaijan","5,373,253",52.1,"AZE"
"91","Malawi","5,343,858",26.19,"MWI"
"92","Tajikistan","5,282,863",54.18,"TJK"
"93","Sierra Leone","5,252,127",61.03,"SLE"
"94","Singapore","5,160,551",91.55,"SGP"
"95","Jordan","4,821,579",43.25,"JOR"
"96","Denmark","4,752,101",80.79,"DNK"
"97","El Salvador","4,652,597",73.69,"SLV"
"98","Costa Rica","4,641,899",89.6,"CRI"
"99","Finland","4,524,249",81.65,"FIN"
"100","Mali","4,354,292",19.27,"MLI"
"101","Norway","4,346,995",79.99,"NOR"
"102","New Zealand","4,301,605",82.96,"NZL"
"103","South Sudan","4,287,160",39.28,"SSD"
"104","Republic of Ireland","4,108,868",81.8,"IRL"
"105","Paraguay","3,993,938",58.9,"PRY"
"106","Liberia","3,825,381",72.14,"LBR"
"107","Cameroon","3,727,930",13.35,"CMR"
"108","Benin","3,697,190",27.69,"BEN"
"109","Panama","3,533,477",80.15,"PAN"
